# version=2022
# observatory
! mpcCode I40
! name TRAPPIST-South
# submitter
! name E.Jehin
# observers
! name E.Jehin
# measurers
! name E. Jehin
# telescope
! design 0.6-m f/8 Ritchey-Chretien + CCD
! aperture 0.6
! fRatio 8.0
! detector CCD
# software
! astrometry Astrometrica 4.16.4.468
! photometry Astrometrica 4.16.4.468
permID |provID     |trkSub  |mode|stn |obsTime                |ra         |dec        |rmsRA|rmsDec|astCat  |mag  |rmsMag|band|fltr|photCat |photAp|logSNR|seeing|exp |rmsFit|nStars|notes|remarks
       |2001 EC    |        | CCD|I40 |2026-03-01T05:16:30Z   |191.78131  | -7.50106  |0.08 |0.14  |   Gaia3|15.7 |0.11  |   G|   R|   Gaia3| 5.9  |1.95  |2.4   |  30|0.16  |    92|     |
       |2001 EC    |        | CCD|I40 |2026-03-01T05:17:15Z   |191.78000  | -7.50052  |0.09 |0.13  |   Gaia3|15.7 |0.11  |   G|   R|   Gaia3| 5.9  |1.97  |2.5   |  30|0.16  |    92|     |
       |2001 EC    |        | CCD|I40 |2026-03-01T05:17:58Z   |191.77877  | -7.49998  |0.07 |0.07  |   Gaia3|15.8 |0.11  |   G|   R|   Gaia3| 5.9  |2.00  |2.5   |  30|0.09  |    91|     |
       |2001 EC    |        | CCD|I40 |2026-03-01T05:18:41Z   |191.77748  | -7.49944  |0.06 |0.06  |   Gaia3|15.7 |0.11  |   G|   R|   Gaia3| 5.9  |1.98  |2.5   |  30|0.07  |    91|     |
       |2001 EC    |        | CCD|I40 |2026-03-01T05:19:25Z   |191.77623  | -7.49891  |0.06 |0.07  |   Gaia3|15.8 |0.12  |   G|   R|   Gaia3| 5.9  |1.98  |2.5   |  30|0.08  |    91|     |
       |2001 EC    |        | CCD|I40 |2026-03-01T05:20:08Z   |191.77492  | -7.49833  |0.06 |0.05  |   Gaia3|15.8 |0.12  |   G|   R|   Gaia3| 5.9  |1.96  |2.5   |  30|0.06  |    89|     |
       |2001 EC    |        | CCD|I40 |2026-03-01T05:37:05Z   |191.74509  | -7.48558  |0.06 |0.07  |   Gaia3|15.8 |0.07  |   G|   R|   Gaia3| 5.9  |1.94  |2.4   |  30|0.08  |    87|     |
       |2001 EC    |        | CCD|I40 |2026-03-01T05:37:47Z   |191.74389  | -7.48506  |0.05 |0.06  |   Gaia3|15.8 |0.07  |   G|   R|   Gaia3| 5.9  |1.97  |2.5   |  30|0.06  |    87|     |
       |2001 EC    |        | CCD|I40 |2026-03-01T05:38:28Z   |191.74266  | -7.48452  |0.05 |0.06  |   Gaia3|15.8 |0.08  |   G|   R|   Gaia3| 5.9  |1.97  |2.5   |  30|0.06  |    87|     |
       |2001 EC    |        | CCD|I40 |2026-03-01T05:39:10Z   |191.74145  | -7.48401  |0.05 |0.06  |   Gaia3|15.7 |0.10  |   G|   R|   Gaia3| 5.9  |1.90  |2.5   |  30|0.06  |    87|     |
       |2001 EC    |        | CCD|I40 |2026-03-01T05:39:51Z   |191.74023  | -7.48349  |0.05 |0.06  |   Gaia3|15.8 |0.07  |   G|   R|   Gaia3| 5.9  |1.95  |2.5   |  30|0.06  |    87|     |
