# version=2022
# observatory
! mpcCode I40
! name TRAPPIST-South
# submitter
! name E.Jehin
# observers
! name E.Jehin
# measurers
! name E. Jehin
# telescope
! design 0.6-m f/8 Ritchey-Chretien + CCD
! aperture 0.6
! fRatio 8.0
! detector CCD
# software
! astrometry Astrometrica 4.16.4.468
! photometry Astrometrica 4.16.4.468
permID |provID     |trkSub  |mode|stn |obsTime                |ra         |dec        |rmsRA|rmsDec|astCat  |mag  |rmsMag|band|fltr|photCat |photAp|logSNR|seeing|exp |rmsFit|nStars|notes|remarks
       |2001 FD58  |        | CCD|I40 |2026-03-07T00:06:19Z   |127.76273  |+20.44025  |0.18 |0.17  |   Gaia3|17.1 |0.12  |   G|   R|   Gaia3| 5.9  |1.63  |4.4   |  90|0.16  |   131|     |
       |2001 FD58  |        | CCD|I40 |2026-03-07T00:08:02Z   |127.76316  |+20.43962  |0.16 |0.15  |   Gaia3|17.2 |0.12  |   G|   R|   Gaia3| 5.9  |1.69  |4.4   |  90|0.18  |   132|     |
       |2001 FD58  |        | CCD|I40 |2026-03-07T00:09:43Z   |127.76351  |+20.43900  |0.16 |0.15  |   Gaia3|17.3 |0.10  |   G|   R|   Gaia3| 5.9  |1.65  |4.4   |  90|0.16  |   130|     |
       |2001 FD58  |        | CCD|I40 |2026-03-07T00:11:25Z   |127.76387  |+20.43847  |0.16 |0.14  |   Gaia3|17.2 |0.12  |   G|   R|   Gaia3| 5.9  |1.72  |4.3   |  90|0.16  |   132|     |
       |2001 FD58  |        | CCD|I40 |2026-03-07T00:13:08Z   |127.76427  |+20.43784  |0.17 |0.15  |   Gaia3|17.2 |0.14  |   G|   R|   Gaia3| 5.9  |1.75  |4.5   |  90|0.18  |   133|     |
       |2001 FD58  |        | CCD|I40 |2026-03-07T00:14:51Z   |127.76465  |+20.43727  |0.15 |0.14  |   Gaia3|17.2 |0.11  |   G|   R|   Gaia3| 5.9  |1.70  |4.3   |  90|0.16  |   131|     |
       |2001 FD58  |        | CCD|I40 |2026-03-07T00:16:33Z   |127.76504  |+20.43669  |0.14 |0.13  |   Gaia3|17.2 |0.13  |   G|   R|   Gaia3| 5.9  |1.71  |4.2   |  90|0.15  |   131|     |
       |2001 FD58  |        | CCD|I40 |2026-03-07T00:18:14Z   |127.76540  |+20.43608  |0.13 |0.13  |   Gaia3|17.2 |0.10  |   G|   R|   Gaia3| 5.9  |1.85  |4.2   |  90|0.14  |   129|     |
       |2001 FD58  |        | CCD|I40 |2026-03-07T00:19:57Z   |127.76580  |+20.43554  |0.14 |0.12  |   Gaia3|17.3 |0.11  |   G|   R|   Gaia3| 5.9  |1.72  |4.0   |  90|0.16  |   130|     |
       |2001 FD58  |        | CCD|I40 |2026-03-07T00:21:39Z   |127.76615  |+20.43494  |0.13 |0.12  |   Gaia3|17.3 |0.12  |   G|   R|   Gaia3| 5.9  |1.74  |4.0   |  90|0.14  |   130|     |
       |2001 FD58  |        | CCD|I40 |2026-03-07T00:23:21Z   |127.76652  |+20.43434  |0.13 |0.11  |   Gaia3|17.3 |0.12  |   G|   R|   Gaia3| 5.9  |1.83  |3.8   |  90|0.13  |   130|     |
       |2001 FD58  |        | CCD|I40 |2026-03-07T00:25:03Z   |127.76688  |+20.43375  |0.13 |0.11  |   Gaia3|17.3 |0.10  |   G|   R|   Gaia3| 5.9  |1.78  |3.8   |  90|0.14  |   129|     |
       |2001 FD58  |        | CCD|I40 |2026-03-07T00:26:45Z   |127.76724  |+20.43316  |0.13 |0.11  |   Gaia3|17.2 |0.13  |   G|   R|   Gaia3| 5.9  |1.83  |3.8   |  90|0.14  |   131|     |
       |2001 FD58  |        | CCD|I40 |2026-03-07T00:28:27Z   |127.76763  |+20.43255  |0.14 |0.11  |   Gaia3|17.2 |0.12  |   G|   R|   Gaia3| 5.9  |1.84  |4.0   |  90|0.15  |   130|     |
       |2001 FD58  |        | CCD|I40 |2026-03-07T00:30:09Z   |127.76803  |+20.43204  |0.14 |0.12  |   Gaia3|17.3 |0.12  |   G|   R|   Gaia3| 5.9  |1.73  |4.0   |  90|0.13  |   134|     |
       |2001 FD58  |        | CCD|I40 |2026-03-07T00:31:52Z   |127.76841  |+20.43143  |0.12 |0.10  |   Gaia3|17.4 |0.12  |   G|   R|   Gaia3| 5.9  |1.78  |4.0   |  90|0.13  |   135|     |
       |2001 FD58  |        | CCD|I40 |2026-03-07T00:33:34Z   |127.76877  |+20.43081  |0.12 |0.11  |   Gaia3|17.4 |0.11  |   G|   R|   Gaia3| 5.9  |1.73  |3.9   |  90|0.12  |   135|     |
       |2001 FD58  |        | CCD|I40 |2026-03-07T00:35:16Z   |127.76914  |+20.43022  |0.15 |0.12  |   Gaia3|17.3 |0.11  |   G|   R|   Gaia3| 5.9  |1.81  |3.8   |  90|0.15  |   135|     |
       |2001 FD58  |        | CCD|I40 |2026-03-07T00:36:58Z   |127.76954  |+20.42969  |0.14 |0.13  |   Gaia3|17.4 |0.11  |   G|   R|   Gaia3| 5.9  |1.79  |4.3   |  90|0.15  |   136|     |
       |2001 FD58  |        | CCD|I40 |2026-03-07T00:38:56Z   |127.76997  |+20.42898  |0.13 |0.11  |   Gaia3|17.4 |0.12  |   G|   R|   Gaia3| 5.9  |1.64  |4.1   |  90|0.13  |   134|     |
       |2001 FD58  |        | CCD|I40 |2026-03-07T00:40:38Z   |127.77031  |+20.42839  |0.14 |0.12  |   Gaia3|17.5 |0.12  |   G|   R|   Gaia3| 5.9  |1.76  |3.9   |  90|0.14  |   137|     |
       |2001 FD58  |        | CCD|I40 |2026-03-07T00:42:20Z   |127.77068  |+20.42779  |0.14 |0.12  |   Gaia3|17.5 |0.12  |   G|   R|   Gaia3| 5.9  |1.74  |4.0   |  90|0.14  |   136|     |
