*******************************************************************************
JPL/HORIZONS                 162882 (2001 FD58)            2026-Mar-30 08:27:09
Rec #:  162882 (+COV) Soln.date: 2026-Mar-25_06:22:34    # obs: 930 (2000-2026)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2458559.5 ! 2019-Mar-17.00 (TDB)         Residual RMS= .23888
   EC= .5752496335194426   QR= .4639592463080244   TP= 2458529.0237405729
   OM= 341.1891865210378   W=  46.00096703724083   IN= 6.497459089693467
   A= 1.092310408469681    MA= 26.31156180226076   ADIST= 1.720661570631338
   PER= 1.14164            N= .863346168           ANGMOM= .01470605
   DAN= .52219             DDN= 1.21726            L= 27.0056443
   B= 4.6691118            MOID= .0326331          TP= 2019-Feb-14.5237405729
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= n.a.               ROTPER= n.a.
   H= 18.77                G= .150                 B-V= n.a.
                           ALBEDO= n.a.            STYP= n.a.

Asteroid non-gravitational force model (AMRAT= m^2/kg;A1,A2,A3=au/d^2;R0=au):
   AMRAT=  0.
   A1= 0.                  A2= -2.26293286687E-14  A3= 0.
 Non-standard or simulated/proxy model:
   ALN=  1.            NK=  0.       NM=  2.       NN=  5.093    R0=  1.

ASTEROID comments: 
1: soln ref.= JPL#154, PHA  OCC=0       radar( 0 delay, 3 Dop.)
2: source=ORB; Nongravitational accels. using nonstandard g(r) = (1 au/ r)^2
*******************************************************************************

  

*******************************************************************************
Ephemeris / WWW_USER Mon Mar 30 08:27:09 2026 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: 162882 (2001 FD58)              {source: JPL#154}
Center body name: Earth (399)                     {source: DE441}
Center-site name: La Silla--TRAPPIST
*******************************************************************************
Start time      : A.D. 2026-Feb-20 00:00:00.0000 UT      
Stop  time      : A.D. 2026-Mar-29 00:00:00.0000 UT      
Step-size       : 10 minutes
*******************************************************************************
Target pole/equ : undefined
Target radii    : undefined                                                    
Center geodetic : 289.2606, -29.254565, 2.32116   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 289.2606,5571.12942,-3099.68284 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ITRF93                          {East-longitude positive}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}       
Target primary  : Sun
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE441}
Rel. light bend : Sun                             {source: DE441}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Small-body perts: Yes                             {source: SB441-N16}
Atmos refraction: NO (AIRLESS)
RA format       : HMS
Time format     : JD  
Calendar mode   : Mixed Julian/Gregorian
RTS-only print  : NO       
EOP file        : eop.260327.p260623                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2026-MAR-27. PREDICTS-> 2026-JUN-22
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2458559.5 ! 2019-Mar-17.00 (TDB)         Residual RMS= .23888        
   EC= .5752496335194426   QR= .4639592463080244   TP= 2458529.0237405729      
   OM= 341.1891865210378   W=  46.00096703724083   IN= 6.497459089693467       
  Equivalent ICRF heliocentric cartesian coordinates (au, au/d):
   X=-2.913245401623044E-01  Y= 5.674923499888068E-01  Z= 3.100491911060990E-01
  VX=-2.363717795478183E-02 VY= 2.178461068360224E-03 VZ= 2.446599429857263E-04
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= n.a.               ROTPER= n.a.                
   H= 18.77                G= .150                 B-V= n.a.                   
                           ALBEDO= n.a.            STYP= n.a.                  
Asteroid non-gravitational force model (AMRAT= m^2/kg;A1,A2,A3=au/d^2;R0=au):  
   AMRAT=  0.                                                                  
   A1= 0.                  A2= -2.26293286687E-14  A3= 0.                      
 Non-standard or simulated/proxy model:                                        
   ALN=  1.            NK=  0.       NM=  2.       NN=  5.093    R0=  1.       
***************************************************************************************************************************************************************************************************
Date_________JDUT, , , R.A._(ICRF), DEC__(ICRF),  dRA*cosD, d(DEC)/dt,  a-mass, mag_ex,    APmag,  S-brt,                r,       rdot,             delta,     deldot,     S-T-O,  T-O-M, MN_Illu%,
***************************************************************************************************************************************************************************************************
$$SOE
2461091.500000000,N,m, 07 27 11.98, +42 59 06.0,  400.5659,  -626.851,   4.800,  0.720,   14.914,   n.a.,   1.039805095470, 17.1619032,  0.07393529117942, 15.3937266,   44.8019,  103.3,   7.0371,
2461091.506944444,N,m, 07 27 18.09, +42 57 21.8,  399.1042,  -626.627,   4.486,  0.673,   14.916,   n.a.,   1.039873922113, 17.1609252,  0.07399706803688, 15.4115529,   44.7765,  103.2,   7.0739,
2461091.513888889,A,m, 07 27 24.17, +42 55 37.6,  397.6905,  -626.419,   4.227,  0.634,   14.917,   n.a.,   1.039942744829, 17.1599472,  0.07405891696014, 15.4296602,   44.7512,  103.1,   7.1113,
2461091.520833333,A,m, 07 27 30.22, +42 53 53.4,  396.3259,  -626.226,   4.012,  0.602,   14.918,   n.a.,   1.040011563618, 17.1589691,  0.07412083903555, 15.4480281,   44.7260,  103.1,   7.1494,
2461091.527777778,A,m, 07 27 36.25, +42 52 09.3,  395.0111,  -626.046,   3.833,  0.575,   14.919,   n.a.,   1.040080378480, 17.1579910,  0.07418283526690, 15.4666358,   44.7008,  103.0,   7.1882,
2461091.534722222, , , 07 27 42.26, +42 50 25.2,  393.7467,  -625.877,   3.684,  0.553,   14.921,   n.a.,   1.040149189416, 17.1570129,  0.07424490657332, 15.4854619,   44.6757,  102.9,   7.2277,
2461091.541666667, , , 07 27 48.25, +42 48 41.1,  392.5335,  -625.719,   3.559,  0.534,   14.922,   n.a.,   1.040217996424, 17.1560348,  0.07430705378731, 15.5044847,   44.6506,  102.9,   7.2679,
2461091.548611111, , , 07 27 54.21, +42 46 57.1,  391.3720,  -625.570,   3.456,  0.519,   14.923,   n.a.,   1.040286799505, 17.1550567,  0.07436927765295, 15.5236818,   44.6256,  102.8,   7.3088,
2461091.555555556, , , 07 28 00.16, +42 45 13.0,  390.2627,  -625.428,   3.371,  0.506,   14.924,   n.a.,   1.040355598659, 17.1540785,  0.07443157882427, 15.5430306,   44.6006,  102.8,   7.3503,
2461091.562500000, , , 07 28 06.09, +42 43 29.0,  389.2058,  -625.292,   3.303,  0.496,   14.926,   n.a.,   1.040424393885, 17.1531003,  0.07449395786376, 15.5625082,   44.5757,  102.7,   7.3926,
2461091.569444444, , , 07 28 11.99, +42 41 45.0,  388.2017,  -625.161,   3.249,  0.488,   14.927,   n.a.,   1.040493185184, 17.1521221,  0.07455641524110, 15.5820912,   44.5508,  102.6,   7.4356,
2461091.576388889, , , 07 28 17.88, +42 40 01.1,  387.2505,  -625.033,   3.210,  0.482,   14.928,   n.a.,   1.040561972555, 17.1511439,  0.07461895133206, 15.6017561,   44.5260,  102.5,   7.4793,
2461091.583333333, , , 07 28 23.76, +42 38 17.1,  386.3523,  -624.906,   3.183,  0.478,   14.930,   n.a.,   1.040630755998, 17.1501656,  0.07468156641748, 15.6214791,   44.5012,  102.5,   7.5237,
2461091.590277778, , , 07 28 29.62, +42 36 33.2,  385.5070,  -624.779,   3.168,  0.475,   14.931,   n.a.,   1.040699535513, 17.1491873,  0.07474426068263, 15.6412363,   44.4764,  102.4,   7.5688,
2461091.597222222, ,t, 07 28 35.46, +42 34 49.3,  384.7146,  -624.650,   3.165,  0.475,   14.932,   n.a.,   1.040768311100, 17.1482090,  0.07480703421654, 15.6610037,   44.4517,  102.3,   7.6146,
2461091.604166667, , , 07 28 41.29, +42 33 05.4,  383.9749,  -624.519,   3.175,  0.476,   14.933,   n.a.,   1.040837082760, 17.1472307,  0.07486988701161, 15.6807572,   44.4270,  102.3,   7.6611,
2461091.611111111, , , 07 28 47.11, +42 31 21.6,  383.2874,  -624.383,   3.196,  0.480,   14.935,   n.a.,   1.040905850491, 17.1462524,  0.07493281896344, 15.7004725,   44.4024,  102.2,   7.7083,
2461091.618055556, , , 07 28 52.91, +42 29 37.7,  382.6519,  -624.242,   3.230,  0.485,   14.936,   n.a.,   1.040974614293, 17.1452740,  0.07499582987076, 15.7201256,   44.3777,  102.1,   7.7562,
2461091.625000000, , , 07 28 58.70, +42 27 53.9,  382.0678,  -624.094,   3.278,  0.492,   14.937,   n.a.,   1.041043374168, 17.1442956,  0.07505891943561, 15.7396923,   44.3531,  102.0,   7.8047,
2461091.631944444, , , 07 29 04.48, +42 26 10.1,  381.5346,  -623.936,   3.340,  0.501,   14.938,   n.a.,   1.041112130114, 17.1433172,  0.07512208726364, 15.7591488,   44.3286,  101.9,   7.8539,
2461091.638888889, , , 07 29 10.25, +42 24 26.4,  381.0516,  -623.769,   3.418,  0.513,   14.940,   n.a.,   1.041180882132, 17.1423388,  0.07518533286465, 15.7784712,   44.3040,  101.9,   7.9038,
2461091.645833333, , , 07 29 16.01, +42 22 42.6,  380.6179,  -623.591,   3.513,  0.527,   14.941,   n.a.,   1.041249630221, 17.1413604,  0.07524865565331, 15.7976358,   44.2795,  101.8,   7.9543,
2461091.652777778, , , 07 29 21.76, +42 20 58.9,  380.2329,  -623.400,   3.629,  0.545,   14.942,   n.a.,   1.041318374382, 17.1403819,  0.07531205495002, 15.8166193,   44.2550,  101.7,   8.0054,
